Eff,,Obj_A: % load met,Obj_B: Worst deficit (GW),Obj_C: Cost(£/MWh),Obj_D: CO2 (kg/MWh),GW_nuclear,GW_PV,GW_onshore_wind,GW_offshore_wind,GW_BECCS,GW_OCGT,GW_H2,h_H2,CV
0.18,18,99.99755046,-3.903598437,121.0614778,30.68256355,5,66.50560305,20,23.67377376,2.5,36.81257837,10.49033473,40.68483763,[0.]
0.18,19,99.99909401,-2.354605441,127.1973309,-17.03037458,5,51.4582395,20,45.55797386,2.5,36.37841988,13.13363665,143.3502752,[0.]
0.18,20,100,0,121.1978051,56.36728861,5,78.31072409,20,16.33946307,2.5,41.79883751,3.785508484,91.93452605,[0.]
0.18,21,99.95547799,-19.66567325,143.993688,-53.62876303,5,44.89213262,20,57.46519837,2.5,13.07042779,39.87678096,250.9190226,[0.]
0.18,22,100,0,129.1257289,-8.06675167,5,49.00633936,20,44.32244072,2.5,45.42336504,9.040067264,457.7563731,[0.]
0.18,23,88.06772651,-37.19373824,128.7002968,-39.39883765,5,58.33628097,20,24.35131518,2.5,3.461039607,42.18337408,22.87309304,[0.]
0.18,24,87.72815817,-39.57880974,138.8102909,-60.97708223,5,87.10438739,20,21.015726,2.5,0.472371873,48.42028196,223.8747511,[0.]
0.18,25,80.29003144,-39.7245739,132.8968063,-58.66457237,5,34.1862138,20,23.46538155,2.5,1.010487463,48.46977315,19.64798971,[0.]
0.18,26,99.98706043,-9.216080817,145.5217004,-52.79556791,5,83.88943824,20,60.82499461,2.5,26.52252544,25.80659698,159.5153485,[0.]
0.18,27,81.42346004,-40.18246023,131.9368089,-63.25704931,5,44.22361347,20,23.52795833,2.5,0.546930413,48.58148579,14.24402841,[0.]
0.18,28,100,0,121.4797647,50.99674564,5,73.4374584,20,20.18806655,2.5,42.83595769,2.465203716,47.42429501,[0.]
0.18,29,99.99758816,-3.903598437,122.4419904,22.30758347,5,77.14383585,20,23.67377376,2.5,36.81257837,13.08590168,40.68483763,[0.]
0.18,30,99.35380117,-33.72608695,200.0654176,-55.94810054,5,69.33849505,20,114.6917509,2.5,0.689179851,48.70350554,19.31243446,[0.]
0.18,31,99.99562735,-4.651153154,124.4557916,-5.217803996,5,49.86871102,20,39.27357837,2.5,34.6513656,13.16084016,179.6755077,[0.]
0.18,32,99.95056152,-15.59478068,145.0110561,-55.30852469,5,52.59394078,20,56.99749385,2.5,9.238795096,39.88685889,278.9658912,[0.]
0.18,33,99.87716583,-17.59566294,136.1247798,-46.31583404,5,76.67382964,20,45.06998536,2.5,21.0091063,34.40561077,164.2750877,[0.]
0.18,34,91.73161198,-38.27597689,141.4993035,-59.60421688,5,44.90292885,20,47.14930499,2.5,0.312841624,49.72825423,15.53636376,[0.]
0.18,35,100,0,123.5874868,10.11726273,5,73.4374584,20,29.24098846,2.5,41.85354182,10.8135772,126.2375676,[0.]
0.18,36,100,0,127.0306259,0.019220613,5,54.29824325,20,36.08111266,2.5,46.26862345,17.37702921,55.1552411,[0.]
0.18,37,88.57990601,-37.4081145,130.3500622,-45.23121132,5,45.70434839,20,29.73613157,2.5,2.758689983,42.44289812,60.4719079,[0.]
